id,name,category,description,price,isVeg,tags,imageUrl,isAvailable,sortOrder
101,Sweet Potato Fries,Food,"Crispy, golden sweet potato fries with a hint of natural sweetness.",290,TRUE,,,TRUE,1
102,Korean Corn Dog,Food,"A crunchy, cheesy corn dog with bold Korean street-style flair.",360,TRUE,,,TRUE,2
103,Japanese Sesame Chicken,Food,Crispy chicken tossed in a sweet-savory sesame glaze.,400,FALSE,,,TRUE,3
104,Veg Miso Ramen,Food,"A hearty bowl of veggies in a rich, umami miso broth.",450,TRUE,,,TRUE,4
105,Chicken Miso Ramen,Food,"Tender chicken served in a deep, comforting miso broth.",485,FALSE,,,TRUE,5
106,Veg Korean Ramen,Food,Spicy Korean-style ramen loaded with vegetables.,450,TRUE,spicy,,TRUE,6
107,Chicken Korean Ramen,Food,Fiery Korean ramen with juicy chicken and bold flavors.,485,FALSE,spicy,,TRUE,7
201,Pesto Spaghetti,Pastas,"Spaghetti tossed in a vibrant basil pesto sauce, topped with parmesan and toasted pine nuts.",410,TRUE,,,TRUE,1
202,Pasta Combo,Pastas,"Pick 1 Pasta, 1 Beverage and a Dessert of your choice.",325,TRUE,bestseller,,TRUE,2
203,Alfredo Pasta,Pastas,Creamy Alfredo sauce tossed with pasta.,410,TRUE,,,TRUE,3
204,Cajun Alfredo Spaghetti,Pastas,Spaghetti in a creamy Cajun sauce with tomatoes and cream.,430,TRUE,spicy,,TRUE,4
205,Aglio O Olio Spaghetti,Pastas,"Simple yet flavorful pasta with garlic, olive oil, and red pepper flakes.",410,TRUE,,,TRUE,5
206,Arrabiata Penne,Pastas,"Spicy tomato-based pasta with garlic, chili, and fresh herbs.",430,TRUE,spicy,,TRUE,6
301,Firecracker Burger (Non Veg),Burgers,"Spicy burger with chicken patty, jalapenos, spicy mayo, and crisp lettuce.",480,FALSE,"bestseller,spicy",,TRUE,1
302,Seekh Kebab Burger,Burgers,"Smoky, spiced seekh kebab in a bun with chutney and slaw.",485,FALSE,staffpick,,TRUE,2
303,Big Papi Burger,Burgers,Crispy chicken burger with smoky chipotle sauce and fresh lettuce.,480,FALSE,,,TRUE,3
304,Firecracker Burger (Veg),Burgers,Veggie patty with fresh lettuce and fiery house sauce.,410,TRUE,spicy,,TRUE,4
305,Smash Lamb Burger,Burgers,"Juicy smashed lamb double patty with cheese, caramelised onion, and animal sauce.",670,FALSE,bestseller,,TRUE,5
306,BBQ Mushroom Burger,Burgers,"Crunchy BBQ mushrooms with lettuce, cheese and house sauce.",430,TRUE,,,TRUE,6
307,Cajun Fried Paneer Burger,Burgers,Crispy Cajun-spiced paneer with creamy mayo and tangy pickles.,445,TRUE,spicy,,TRUE,7
401,Classic BLT Sandwich,Sandwiches,"Crispy bacon, fresh lettuce, juicy tomato, and creamy mayo on French loaf.",520,FALSE,bestseller,,TRUE,1
402,Mumbai Masala Sandwich,Sandwiches,"Spiced potato, beetroot & cheese with chutney, toasted between buttered bread.",320,TRUE,,,TRUE,2
403,Philly Cheese Sandwich,Sandwiches,"Sauteed mushrooms, melted cheese, caramelized onions, and bell peppers.",350,TRUE,,,TRUE,3
404,Pulled Lamb Sandwich,Sandwiches,"Slow-cooked lamb, caramelised onions, and cheese.",437,FALSE,staffpick,,TRUE,4
405,Chicken Pesto Sandwich,Sandwiches,Fresh basil pesto paired with grilled chicken.,385,FALSE,,,TRUE,5
406,Paneer Pesto Sandwich,Sandwiches,Fresh basil pesto paired with grilled paneer.,360,TRUE,,,TRUE,6
407,Chicken Tikka Sandwich,Sandwiches,Smoky tikka stuffed between toasted bread with mint chutney.,375,FALSE,,,TRUE,7
408,Paneer Tikka Sandwich,Sandwiches,Smoky tikka stuffed between toasted bread with mint chutney.,350,TRUE,,,TRUE,8
501,Smoked Chicken Hummus Board,Tapas & Sliders,"Creamy hummus with pita, fresh veggies and smoked chicken.",285,FALSE,,,TRUE,1
502,Falafel Hummus Board,Tapas & Sliders,"Creamy hummus with pita, fresh veggies and falafel.",250,TRUE,,,TRUE,2
503,Chicken Kathi Roll,Tapas & Sliders,"Succulent chicken chunks, sauteed onions, and masalas rolled in paratha.",280,FALSE,,,TRUE,3
504,Malai Broccoli,Tapas & Sliders,Char-grilled broccoli coated in creamy malai and spices.,250,TRUE,,,TRUE,4
505,Avocado Bhel,Tapas & Sliders,"Puffed rice, tangy chutneys, and fresh guacamole.",290,TRUE,staffpick,,TRUE,5
506,Paneer Kathi Roll,Tapas & Sliders,Tawa-seared paneer tikka wrapped in a flaky paratha.,260,TRUE,,,TRUE,6
507,Pita Chips & Dips,Tapas & Sliders,"Toasted pita crisps with hummus, chipotle, salsa, and sour cream.",210,TRUE,,,TRUE,7
508,Mexican Bean Slider,Tapas & Sliders,"Mini bun with spiced Mexican beans, salsa, and cheese.",270,TRUE,,,TRUE,8
509,Dabheli Sliders,Tapas & Sliders,Mini Gujarati-style spicy potato burgers with chutneys and sev.,190,TRUE,,,TRUE,9
510,Chicken Chapli Sliders,Tapas & Sliders,Juicy chicken chapli patties with creamy mint mayo.,280,FALSE,,,TRUE,10
511,Vada Pav Sliders,Tapas & Sliders,Mini batata vadas in buttery pav with spicy chutney.,250,TRUE,,,TRUE,11
512,Cheese Vada Pav Sliders,Tapas & Sliders,Classic vada pav with a molten cheese twist.,270,TRUE,bestseller,,TRUE,12
513,Korean BBQ Chicken,Tapas & Sliders,Tender fried chicken in Korean BBQ sauce with sautéed veggies.,390,FALSE,bestseller,,TRUE,13
514,Classic Salted Fries,Tapas & Sliders,"Crispy golden fries, lightly salted and served hot.",270,TRUE,,,TRUE,14
515,Korean BBQ Paneer,Tapas & Sliders,Grilled paneer in sweet and savory Korean BBQ sauce.,370,TRUE,,,TRUE,15
516,Cajun Potato Fries,Tapas & Sliders,Spicy Cajun-seasoned fries with a hint of heat.,280,TRUE,spicy,,TRUE,16
517,Garlic Honey Crispy Chicken,Tapas & Sliders,Crispy chicken tenders with sweet garlic honey sauce.,450,FALSE,,,TRUE,17
601,Classic Margherita Pizza,Pizza,San Marzano tomato sauce with mozzarella and fresh basil.,460,TRUE,,,TRUE,1
602,Wicked Pepperoni Pizza,Pizza,"Lamb pepperoni, San Marzano sauce, mozzarella blend.",590,FALSE,bestseller,,TRUE,2
603,Chicken Tikka Pizza,Pizza,"Chicken in desi spices, onion, makhani sauce, mozzarella.",570,FALSE,,,TRUE,3
604,Mexican Pizza,Pizza,"Hot sauce, corn, onion, capsicum, jalapeno, mozzarella.",530,TRUE,spicy,,TRUE,4
605,Paneer Tikka Pizza,Pizza,"Paneer in Indian spices, onion, capsicum, makhani sauce.",570,TRUE,,,TRUE,5
606,Park Avenue Pizza,Pizza,"Mushroom, bellpepper, broccoli on San Marzano sauce.",540,TRUE,,,TRUE,6
607,Chicken Paprika Pizza,Pizza,"Hot sauce marinated chicken, red paprika, mozzarella.",540,FALSE,spicy,,TRUE,7
608,Sunny Shroom Pizza,Pizza,"Mushrooms, olives, and cheese on a crisp crust.",500,TRUE,,,TRUE,8
609,Pesto Mushroom Pizza,Pizza,"Basil pesto, mozzarella, and mushrooms.",535,TRUE,,,TRUE,9
610,Loaded Chicken Pizza,Pizza,A meaty chicken lover's dream with extra cheese.,595,FALSE,staffpick,,TRUE,10
611,Classic BLT Pizza,Pizza,A classic BLT reinvented on pizza.,649,FALSE,,,TRUE,11
612,Pesto Fried Chicken Pizza,Pizza,Golden fried chicken on pesto-smeared cheesy pizza.,560,FALSE,,,TRUE,12
613,Four Cheese Pizza,Pizza,"A rich medley of four cheeses, gooey and golden.",550,TRUE,bestseller,,TRUE,13
614,Fiery Chicken Pizza,Pizza,"Spicy, juicy chicken with a punch of heat.",550,FALSE,spicy,,TRUE,14
701,Jerk Chicken Burrito,Mexican,"Jamaican jerk chicken, rice, beans, and spices in a warm tortilla.",370,FALSE,,,TRUE,1
702,Chicken Fajita Burrito,Mexican,"Grilled chicken with fajita seasoning, peppers, onions, rice, beans.",370,FALSE,,,TRUE,2
703,Mushroom Fajita Burrito,Mexican,"Sauteed mushrooms with fajita spices, veggies, and sauces.",350,TRUE,,,TRUE,3
704,Chimichuri Paneer Burrito,Mexican,Zesty chimichurri sauce with grilled paneer and fresh veggies.,340,TRUE,,,TRUE,4
705,Mexican Bean Taco,Mexican,"Spiced beans, salsa, and avocado in a soft tortilla.",250,TRUE,,,TRUE,5
706,Chimichurri Cottage Cheese Taco,Mexican,Grilled cottage cheese with chimichurri sauce and crunchy slaw.,320,TRUE,,,TRUE,6
707,Crispy Southwest Taco,Mexican,"Crispy chicken with chipotle sauce, lettuce and salsa.",400,FALSE,,,TRUE,7
708,Chicken Tikka Taco,Mexican,Chicken tikka in a soft taco with salad and yogurt sauce.,360,FALSE,,,TRUE,8
709,Chimichurri Chicken Taco,Mexican,"Chicken with chimichurri sauce, slaw, and chipotle drizzle.",360,FALSE,,,TRUE,9
710,Quesso Birria Taco,Mexican,Tender slow-cooked lamb with birria sauce and dipping broth.,430,FALSE,staffpick,,TRUE,10
711,Paneer Tikka Taco,Mexican,Grilled paneer tikka with pickled onions and mint chutney.,350,TRUE,,,TRUE,11
712,Cajun Paneer Taco,Mexican,Spicy Cajun-seasoned paneer with fresh veggies.,390,TRUE,spicy,,TRUE,12
713,Chicken Tikka Bowl,Mexican,Char-grilled chicken tikka on herbed rice with chutneys.,437,FALSE,,,TRUE,13
714,Cajun Paneer Bowl,Mexican,"Cajun-spiced paneer over rice with salsa, sour cream, guacamole.",350,TRUE,,,TRUE,14
715,Paneer Tikka Bowl,Mexican,Char-grilled paneer tikka on herbed rice with chutneys.,420,TRUE,,,TRUE,15
716,Mushroom Fajita Bowl,Mexican,Fajita-spiced mushrooms on a hearty rice bowl.,437,TRUE,,,TRUE,16
717,Lamb Birria Bowl,Mexican,Slow-cooked lamb in birria sauce over rice with salsa and guac.,480,FALSE,bestseller,,TRUE,17
718,Chicken Fajita Bowl,Mexican,Grilled chicken in fajita seasoning with veggies and rice.,430,FALSE,,,TRUE,18
719,Jerk Chicken Bowl,Mexican,Jamaican jerk chicken over rice and beans with guacamole.,430,FALSE,,,TRUE,19
720,Mexican Bowl Combo,Mexican,"Pick 1 Mexican Bowl, 1 Beverage and a Dessert.",365,TRUE,bestseller,,TRUE,20
801,Chicken Kadhai With Lacha Paratha,Indian Mains,Bold kadhai-style chicken curry with soft lacha parathas.,315,FALSE,,,TRUE,1
802,Chole Masala With Stuffed Kulcha,Indian Mains,"Tangy North Indian chickpeas with soft, stuffed kulchas.",295,TRUE,,,TRUE,2
803,Paneer Kadhai With Lacha Paratha,Indian Mains,"Wok-tossed paneer in spicy kadhai masala, served with flakey paratha.",295,TRUE,,,TRUE,3
804,Indian Meal Combo,Indian Mains,"Pick 1 Indian Meal, 1 Beverage and a Dessert.",350,TRUE,bestseller,,TRUE,4
